BioSample	DATASTORE_provider	DATASTORE_region	Experiment	LoadDate	MBases	MBytes	Run	SRA_Sample	Sample_Name	cell_line	cell_type	source_name	Assay_Type	AvgSpotLen	BioProject	Center_Name	Consent	DATASTORE_filetype	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA_Study
SAMN02438042	ncbi		SRX388453	2013-12-06	4404	2984	SRR1044666	SRS512340	GSM1282320	Nuclear Transfer Derived	Human Pluripotent Stem Cell	Nuclear Transfer Stem Cell	RNA-Seq	200	PRJNA230824	GEO	public	sra	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-07-08	SRP033569
SAMN02438032	ncbi		SRX388454	2013-12-06	5110	3461	SRR1044667	SRS512341	GSM1282321	Nuclear Transfer Derived	Human Pluripotent Stem Cell	Nuclear Transfer Stem Cell	RNA-Seq	200	PRJNA230824	GEO	public	sra	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-07-08	SRP033569
SAMN02438033	ncbi		SRX388455	2013-12-06	4337	2932	SRR1044668	SRS512342	GSM1282322	Nuclear Transfer Derived	Human Pluripotent Stem Cell	Nuclear Transfer Stem Cell	RNA-Seq	200	PRJNA230824	GEO	public	sra	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-07-08	SRP033569
SAMN02438034	ncbi		SRX388456	2013-12-06	5404	3663	SRR1044669	SRS512343	GSM1282323	Nuclear Transfer Derived	Human Pluripotent Stem Cell	Nuclear Transfer Stem Cell	RNA-Seq	200	PRJNA230824	GEO	public	sra	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-07-08	SRP033569
SAMN02438035	ncbi		SRX388457	2013-12-06	5143	3481	SRR1044670	SRS512344	GSM1282324	IVF Derived	Human Pluripotent Stem Cell	Human Embryonic Stem Cell	RNA-Seq	200	PRJNA230824	GEO	public	sra	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-07-08	SRP033569
SAMN02438036	ncbi		SRX388458	2013-12-06	4432	2998	SRR1044671	SRS512345	GSM1282325	IVF Derived	Human Pluripotent Stem Cell	Human Embryonic Stem Cell	RNA-Seq	200	PRJNA230824	GEO	public	sra	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-07-08	SRP033569
SAMN02438038	ncbi		SRX388459	2013-12-06	5144	3544	SRR1044672	SRS512346	GSM1282326	Retro-Virus Derived	Human Pluripotent Stem Cell	induced Pluripotent Stem Cell	RNA-Seq	200	PRJNA230824	GEO	public	sra	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-07-08	SRP033569
SAMN02438037	ncbi		SRX388460	2013-12-06	6020	4156	SRR1044673	SRS512347	GSM1282327	Retro-Virus Derived	Human Pluripotent Stem Cell	induced Pluripotent Stem Cell	RNA-Seq	200	PRJNA230824	GEO	public	sra	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-07-08	SRP033569
SAMN02438040	ncbi		SRX388461	2013-12-06	4282	2969	SRR1044674	SRS512348	GSM1282328	Sendai-Virus Derived	Human Pluripotent Stem Cell	induced Pluripotent Stem Cell	RNA-Seq	200	PRJNA230824	GEO	public	sra	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-07-08	SRP033569
SAMN02438039	ncbi		SRX388462	2013-12-06	5272	3594	SRR1044675	SRS512349	GSM1282329	Sendai-Virus Derived	Human Pluripotent Stem Cell	induced Pluripotent Stem Cell	RNA-Seq	200	PRJNA230824	GEO	public	sra	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-07-08	SRP033569
