study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJNA230824	SAMN02438042	SRX388453	SRR1044666	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/006/SRR1044666/SRR1044666_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/006/SRR1044666/SRR1044666_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR104/006/SRR1044666
PRJNA230824	SAMN02438032	SRX388454	SRR1044667	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/007/SRR1044667/SRR1044667_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/007/SRR1044667/SRR1044667_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR104/007/SRR1044667
PRJNA230824	SAMN02438033	SRX388455	SRR1044668	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/008/SRR1044668/SRR1044668_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/008/SRR1044668/SRR1044668_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR104/008/SRR1044668
PRJNA230824	SAMN02438034	SRX388456	SRR1044669	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/009/SRR1044669/SRR1044669_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/009/SRR1044669/SRR1044669_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR104/009/SRR1044669
PRJNA230824	SAMN02438035	SRX388457	SRR1044670	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/000/SRR1044670/SRR1044670_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/000/SRR1044670/SRR1044670_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR104/000/SRR1044670
PRJNA230824	SAMN02438036	SRX388458	SRR1044671	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/001/SRR1044671/SRR1044671_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/001/SRR1044671/SRR1044671_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR104/001/SRR1044671
PRJNA230824	SAMN02438038	SRX388459	SRR1044672	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/002/SRR1044672/SRR1044672_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/002/SRR1044672/SRR1044672_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR104/002/SRR1044672
PRJNA230824	SAMN02438037	SRX388460	SRR1044673	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/003/SRR1044673/SRR1044673_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/003/SRR1044673/SRR1044673_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR104/003/SRR1044673
PRJNA230824	SAMN02438040	SRX388461	SRR1044674	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/004/SRR1044674/SRR1044674_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/004/SRR1044674/SRR1044674_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR104/004/SRR1044674
PRJNA230824	SAMN02438039	SRX388462	SRR1044675	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/005/SRR1044675/SRR1044675_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/005/SRR1044675/SRR1044675_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR104/005/SRR1044675
PRJNA230824	SAMN02438041	SRX388463	SRR1044676	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/006/SRR1044676/SRR1044676_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/006/SRR1044676/SRR1044676_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR104/006/SRR1044676
