"D0_32F_MEF" "D3_32F_MEF" "D7_32F_MEF" "D13_Primed_32F_KSR" "D21_Primed_32F_KSR" "P3_Primed_32F_KSR" "P10_Primed_32F_KSR" "D13_Naive_32F_Naive" "D21_Naive_32F_Naive" "P3_Naive_32F_Naive" "P10_Naive_32F_Naive"
"A1BG" 1.93471428465251 0.452199005481618 0 0.149804213738473 1.10590351423316 1.50309282694519 0 0 1.11740062177274 0 0
"A1BG-AS1" 0.503693894736462 0.313941105859153 0 0.624013320949185 1.53555654932105 1.04352866454793 0.933058030391607 0 0.232728057316326 0 0.372539964961523
"A1CF" 0 0.040937131229898 0.0185728847065389 0.00968687724125233 0.016686059581795 0.0151192794817892 0.00772497919167912 0.0369795834602882 0.00433530768552675 0.0213304700095626 0
"A2M" 0.43612762014048 0.020909889425579 0.0747075090913424 0.249372559966512 1.86651822979382 0.417022210488906 1.69865352670637 0.132219157656976 0.124005881457204 0.279643176450997 0.0992513478301799
"A2M-AS1" 0 0 0.417391553919502 1.04493512340952 10.2854020483179 2.32990700094271 7.63860914819147 4.43225804288806 0 2.13050324917788 1.66355463339539
"A2ML1" 0.0282315468008055 0.0938458124706506 3.43677645265451 1.16584440528907 3.42831289422294 1.31274759114237 1.6386388257132 0.927208863199212 1.0348381562251 2.02522398056689 1.23890955911112
"A2MP1" 0.142631909928017 0 0 0.176702979165699 1.7393052861737 0.393997195636656 0.176143818483326 0 0.395412146016567 0 0
"A3GALT2" 0 0 0 0 0 0 0 0 0 0.0855887651487215 0
"A4GALT" 2.25234389938502 7.61580719958941 20.9404108574211 12.5915469858187 1.75953416287159 1.59431821730015 1.00830848441368 13.9810376877375 35.8513889121328 7.68048273940148 7.49641114885357
"A4GNT" 0.280081691640655 0.232758180906878 0 0.231323969265361 0 0 0 0 0.258819368932412 0.282985875634746 0.41430569113714
"AA06" 0 0 0 0.252337545738636 0 0.281320342883495 0 0 0 0 0
"AAAS" 12.4216714402755 12.3874386704473 19.967074847909 19.2095762320461 29.5984402532292 22.5596961962208 16.9623713299398 20.482658089293 49.4770851408492 20.9895833230496 36.9602595238497
"AACS" 1.66151069591695 2.93846490731534 3.00621839619457 2.19991774612073 4.62205535446911 2.45259425363196 3.00088757431245 2.98765307227877 4.70209383741759 2.65975210435487 3.65591671876977
"AACSP1" 0 0 0.105280382314197 0 0.756679324658863 0.293840995957336 0.437890384568457 0 0.0655325018586536 0 0
"AADAC" 0 0.839905699970575 0 0.0695608633993716 0.684694610088494 0 0 0.221290075358538 0.155657875183408 0.936055874004084 0.249169696320686
"AADACL2" 0 0.0846020805962618 0.403025291153061 0 0 0 0.0838147126057833 0 0.0940747045924626 0.102858656846235 0.351377358475007
"AADACL2-AS1" 0 0 0.0067892127196181 0 0.0104562762706102 0 0 0.0360471389500239 0.0126779771896926 0.0103963098601385 0.0507357517664
"AADACL3" 0 0 0.142953876247234 3.73789373605924 4.3055013279956 4.25588215129768 1.22880883760326 0.12650161497219 1.00846979107379 0.145936684615349 0.189918859130198
"AADACL4" 0 0 0 0 0 0 0 0.424744948477989 0 0 0
"AADACP1" 0.0560590130093147 0.0698806506150922 0 0 0.256351482937766 0 0 0 0 0 0
"AADAT" 0.715138946774785 2.62392037507331 4.93780849563652 3.34327214971316 2.03619275445405 3.01908967392549 2.3662117926734 1.91443756968873 1.49626273612043 2.44373305916562 2.37518641471238
"AAED1" 19.5065638812303 5.59483356153002 2.47731842100613 1.78216642988082 6.31513595587698 3.89424789140055 6.89292446716492 1.8142419713478 1.27615777558485 6.71495488430371 3.83027334416614
"AAGAB" 1.05006526207242 2.50005967386762 1.66233715656022 1.61533387789902 2.35919238339859 1.7183842448401 1.43199158664748 1.92213576056349 1.77514238612749 1.27465260733701 1.37661222186098
"AAK1" 9.56858498035933 19.3819455897778 15.724758704778 9.47478463005276 13.1845720450018 9.37198429064368 9.04678693017425 13.3714734321645 8.37130276687517 14.2244745857656 10.005188962077
