Sample,group,id,lab,background,variable,value
SRR1561745_merge,hESC,hESC-H9 (SRR1561745-7),Smith,H9,PC1,-75.74076123
RL2351_merge,hESC,hESC-H9,Lister,H9,PC1,-47.42959087
RL2352_merge,hESC,hESC-MEL1,Lister,MEL1,PC1,-69.74192335
SRS606777,hESC,hESC-HESO7 (SRS606777),Mitalipov,hESC_1,PC1,-82.93637781
SRS606778,hESC,hESC-HESO8 (SRS606778),Mitalipov,hESC_2,PC1,-81.20019473
SRS114877,hESC,hESC-H9 (SRS114877),Ecker,H9,PC1,-102.9019929
SRS004213,hESC,hESC-H1 (GSM429321),Ecker,H1,PC1,-77.32959092
RL1751_1771,Primed-hiPSC,Primed-hiPSC-P26 (32F),Lister,32F,PC1,0.694291721
RL417,Primed-hiPSC,Primed-hiPSC-P3 (32F),Lister,32F,PC1,26.29289156
RL418,Primed-hiPSC,Primed-hiPSC-P10 (32F),Lister,32F,PC1,84.97410616
RL703,Primed-hiPSC,Primed-hiPSC-P20 (38F),Lister,38F,PC1,-24.44745101
RL3061,TNT-hiPSC,TNT-hiPSC-B2-r1,Lister,32F,PC1,59.68882459
RL3062,TNT-hiPSC,TNT-hiPSC-B2-r2,Lister,32F,PC1,58.22093768
RL3063,TNT-hiPSC,TNT-hiPSC-B2-r3,Lister,32F,PC1,59.3695362
RL3064,TNT-hiPSC,TNT-hiPSC-B2-r4,Lister,32F,PC1,62.63389175
RL3065,TNT-hiPSC,TNT-hiPSC-B2-r5,Lister,32F,PC1,99.63994451
RL3066,TNT-hiPSC,TNT-hiPSC-B2-r6,Lister,32F,PC1,62.73131943
RL3067,Primed-hiPSC,Primed-hiPSC-B2-r1,Lister,32F,PC1,75.39669699
RL3068,Primed-hiPSC,Primed-hiPSC-B2-r2,Lister,32F,PC1,91.7694979
RL3069,Primed-hiPSC,Primed-hiPSC-B2-r3,Lister,32F,PC1,80.0180033
RL3070,Primed-hiPSC,Primed-hiPSC-B2-r4,Lister,32F,PC1,72.79771623
RL3071,Primed-hiPSC,Primed-hiPSC-B2-r5,Lister,32F,PC1,74.23241222
RL3072,Primed-hiPSC,Primed-hiPSC-B2-r6,Lister,32F,PC1,75.57976966
SRX026829,Primed-hiPSC,hiPSC-IMR90 (SRX026829),Ecker,IMR90,PC1,-40.8537007
SRX026830,Primed-hiPSC,hiPSC-FF-6-9  (SRX026830),Ecker,FF,PC1,-42.92784109
SRX026831,Primed-hiPSC,hiPSC-FF-19-7 (SRX026831),Ecker,FF,PC1,-30.01250644
SRX026832,Primed-hiPSC,hiPSC-FF-19-11 (SRX026832),Ecker,FF,PC1,-29.36666416
SRS606782,Primed-hiPSC,Primed-hiPSC (SRS606782),Mitalipov,iPSC_S1,PC1,-101.2022846
SRS606783,Primed-hiPSC,Primed-hiPSC (SRS606783),Mitalipov,iPSC_S2,PC1,-116.841068
RL1124,TNT-hiPSC,TNT-hiPSC (32F),Lister,32F,PC1,-30.01265245
RL1125,TNT-hiPSC,TNT-hiPSC (38F),Lister,38F,PC1,-31.09523968
SRR1561745_merge,hESC,hESC-H9 (SRR1561745-7),Smith,H9,PC2,8.186369304
RL2351_merge,hESC,hESC-H9,Lister,H9,PC2,3.843574378
RL2352_merge,hESC,hESC-MEL1,Lister,MEL1,PC2,35.70534223
SRS606777,hESC,hESC-HESO7 (SRS606777),Mitalipov,hESC_1,PC2,2.850196815
SRS606778,hESC,hESC-HESO8 (SRS606778),Mitalipov,hESC_2,PC2,26.26471711
SRS114877,hESC,hESC-H9 (SRS114877),Ecker,H9,PC2,-54.91629778
SRS004213,hESC,hESC-H1 (GSM429321),Ecker,H1,PC2,-19.33019429
RL1751_1771,Primed-hiPSC,Primed-hiPSC-P26 (32F),Lister,32F,PC2,25.5902276
RL417,Primed-hiPSC,Primed-hiPSC-P3 (32F),Lister,32F,PC2,2.337635668
RL418,Primed-hiPSC,Primed-hiPSC-P10 (32F),Lister,32F,PC2,-91.8949551
RL703,Primed-hiPSC,Primed-hiPSC-P20 (38F),Lister,38F,PC2,-11.35320448
RL3061,TNT-hiPSC,TNT-hiPSC-B2-r1,Lister,32F,PC2,34.08464071
RL3062,TNT-hiPSC,TNT-hiPSC-B2-r2,Lister,32F,PC2,25.79004816
