id,group,rds_path
RL3061,TNT,/d/home/hg19ips/hg19ips_samb/mcc_hg19ips/sam/hs-reprogram/wgbs/CG_bsobj/RL3061_all_merged_CG_bsseq_obj.Rds
RL3062,TNT,/d/home/hg19ips/hg19ips_samb/mcc_hg19ips/sam/hs-reprogram/wgbs/CG_bsobj/RL3062_all_merged_CG_bsseq_obj.Rds
RL3063,TNT,/d/home/hg19ips/hg19ips_samb/mcc_hg19ips/sam/hs-reprogram/wgbs/CG_bsobj/RL3063_all_merged_CG_bsseq_obj.Rds
RL3064,TNT,/d/home/hg19ips/hg19ips_samb/mcc_hg19ips/sam/hs-reprogram/wgbs/CG_bsobj/RL3064_all_merged_CG_bsseq_obj.Rds
RL3065,TNT,/d/home/hg19ips/hg19ips_samb/mcc_hg19ips/sam/hs-reprogram/wgbs/CG_bsobj/RL3065_all_merged_CG_bsseq_obj.Rds
RL3066,TNT,/d/home/hg19ips/hg19ips_samb/mcc_hg19ips/sam/hs-reprogram/wgbs/CG_bsobj/RL3066_all_merged_CG_bsseq_obj.Rds
RL3067,Primed,/d/home/hg19ips/hg19ips_samb/mcc_hg19ips/sam/hs-reprogram/wgbs/CG_bsobj/RL3067_all_merged_CG_bsseq_obj.Rds
RL3068,Primed,/d/home/hg19ips/hg19ips_samb/mcc_hg19ips/sam/hs-reprogram/wgbs/CG_bsobj/RL3068_all_merged_CG_bsseq_obj.Rds
RL3069,Primed,/d/home/hg19ips/hg19ips_samb/mcc_hg19ips/sam/hs-reprogram/wgbs/CG_bsobj/RL3069_all_merged_CG_bsseq_obj.Rds
RL3070,Primed,/d/home/hg19ips/hg19ips_samb/mcc_hg19ips/sam/hs-reprogram/wgbs/CG_bsobj/RL3070_all_merged_CG_bsseq_obj.Rds
RL3071,Primed,/d/home/hg19ips/hg19ips_samb/mcc_hg19ips/sam/hs-reprogram/wgbs/CG_bsobj/RL3071_all_merged_CG_bsseq_obj.Rds
RL3072,Primed,/d/home/hg19ips/hg19ips_samb/mcc_hg19ips/sam/hs-reprogram/wgbs/CG_bsobj/RL3072_all_merged_CG_bsseq_obj.Rds
