"","seqnames","start","end","width","strand","L","area","beta","stat","pval","qval","index.start","index.end","index.width","g1_mean","g2_mean","delta","RL3061","RL3062","RL3063","RL3064","RL3065","RL3066","RL3067","RL3068","RL3069","RL3070","RL3071","RL3072","significant"
"1","chr20",54578094,54580079,1986,"*",130,26.0981610305111,-0.627200695117498,-19.6848801414687,6.85744066599464e-06,0.00127504154834816,24591492,24591621,130,0.0664565294326982,0.280163240331426,-0.213706710898728,0.0348706411698538,0.056422569027611,0.0563380281690141,0.0609318996415771,0.0757430488974113,0.114432989690722,0.247191011235955,0.255501222493888,0.264094955489614,0.231023102310231,0.391891891891892,0.291277258566978,TRUE
"2","chr17",20771787,20773793,2007,"*",54,12.4025766096169,0.505807938307671,15.4667287805969,6.85744066599464e-06,0.00127504154834816,21574697,21574750,54,0.737531296859011,0.515398917307795,0.222132379551216,0.76063829787234,0.653333333333333,0.766283524904215,0.766702014846235,0.693877551020408,0.784353059177533,0.536817102137767,0.481818181818182,0.536951501154734,0.510663507109005,0.466589861751152,0.559553349875931,TRUE
"3","chr8",3101444,3103278,1835,"*",33,6.30974360286932,-0.599132053815711,-13.9026988574177,6.85744066599464e-06,0.00127504154834816,11707871,11707903,33,0.103801684920692,0.300384014742194,-0.196582329821502,0.0698324022346369,0.0862533692722372,0.0655270655270655,0.0782828282828283,0.215116279069767,0.107798165137615,0.221635883905013,0.21505376344086,0.418006430868167,0.304166666666667,0.298245614035088,0.345195729537367,FALSE
"4","chr3",2141358,2141838,481,"*",34,5.0932230173822,-0.496157902621529,-12.9822872789857,6.85744066599464e-06,0.00127504154834816,4282752,4282785,34,0.0466113708657123,0.207863938096463,-0.16125256723075,0.0315315315315315,0.0437158469945355,0.0348258706467662,0.0354838709677419,0.0843373493975904,0.0497737556561086,0.200819672131148,0.113744075829384,0.23972602739726,0.204225352112676,0.228464419475655,0.260204081632653,FALSE
"5","chr9",97316354,97318753,2400,"*",79,23.1000158910266,0.781815313045651,12.8972826537943,6.85744066599464e-06,0.00127504154834816,13474387,13474465,79,0.716491215285266,0.382152801316231,0.334338413969035,0.81635581061693,0.47007299270073,0.798892988929889,0.807881773399015,0.612481857764877,0.793261868300153,0.34954954954955,0.368045649072753,0.482587064676617,0.384510869565217,0.317438692098093,0.390784982935154,TRUE
"6","chr6",31819667,31820136,470,"*",37,14.6448929718748,0.912987360924863,12.7458183516533,6.85744066599464e-06,0.00127504154834816,9080690,9080726,37,0.794362905849747,0.409806595509933,0.384556310339814,0.821917808219178,0.736156351791531,0.829166666666667,0.874015748031496,0.61038961038961,0.89453125,0.501901140684411,0.224334600760456,0.517509727626459,0.340807174887892,0.497041420118343,0.377245508982036,TRUE
"7","chr12",126346123,126346530,408,"*",39,10.5044282759207,-0.842503191142168,-12.581390028683,6.85744066599464e-06,0.00127504154834816,17703154,17703192,39,0.152768589826349,0.47721855480463,-0.324449964978281,0.0703517587939698,0.180272108843537,0.0817610062893082,0.2,0.0874524714828897,0.296774193548387,0.339285714285714,0.321192052980132,0.488188976377953,0.42320819112628,0.588957055214724,0.702479338842975,TRUE
"8","chr12",130823395,130825155,1761,"*",111,19.1018420888259,-0.482184546635601,-12.4841097741046,6.85744066599464e-06,0.00127504154834816,17752418,17752528,111,0.198184386818303,0.392976556592569,-0.194792169774266,0.17956204379562,0.182795698924731,0.186577181208054,0.19047619047619,0.180045871559633,0.269649334945586,0.315723270440252,0.443271767810026,0.285285285285285,0.305291723202171,0.50828729281768,0.5,FALSE
"9","chr1",210031985,210032546,562,"*",44,15.2594196490273,0.871263223033381,12.4581402457767,6.85744066599464e-06,0.00127504154834816,1802909,1802952,44,0.813241932508828,0.463152240158507,0.35008969235032,0.875,0.711340206185567,0.815217391304348,0.87109375,0.704626334519573,0.902173913043478,0.441077441077441,0.436482084690554,0.479338842975207,0.556701030927835,0.435146443514644,0.430167597765363,TRUE
"10","chr19",22610169,22611531,1363,"*",76,34.3333204061495,-1.06240706615761,-12.4372259357082,6.85744066599464e-06,0.00127504154834816,23508365,23508440,76,0.188182685692979,0.623035473764012,-0.434852788071033,0.0532150776053215,0.529262086513995,0.101176470588235,0.134259259259259,0.270903010033445,0.0402802101576182,0.634955752212389,0.609756097560976,0.536231884057971,0.623556581986143,0.78125,0.552462526766595,TRUE
"11","chr2",92162208,92162987,780,"*",76,18.837419738205,0.569950657127937,12.3537773588044,6.85744066599464e-06,0.00127504154834816,3011207,3011282,76,0.496471682238129,0.252787200856057,0.243684481382072,0.495024875621891,0.476482617586912,0.465034965034965,0.497340425531915,0.507692307692308,0.537254901960784,0.293598233995585,0.239299610894942,0.296703296703297,0.258264462809917,0.185267857142857,0.243589743589744,TRUE
"12","chr5",180707191,180709241,2051,"*",69,28.6903855780676,1.01124192836498,12.1197019377651,6.85744066599464e-06,0.00127504154834816,8737535,8737603,69,0.672622783713727,0.241538001090163,0.431084782623564,0.813620071684588,0.390532544378698,0.850267379679144,0.809073724007561,0.334405144694534,0.837837837837838,0.348226018396846,0.222416812609457,0.365811965811966,0.190635451505017,0.103202846975089,0.218934911242604,TRUE
