seqnames,start,end,width,strand,L,area,beta,stat,pval,qval,index.start,index.end,index.width,g1_mean,g2_mean,delta,Smith_H9_KSR,Lister_H9_E8,Lister_MEL1_E8,HESO7,HESO8,Ecker_H9,Ecker_H1,RL1751_1771,RL417,RL418,RL703,blacklist,significant,class,direction,loci
chr12,130642603,130650204,7602,*,338,168.575276723193,1.24806762349739,55.6731852738444,3.5153709595205e-06,0.0205001368483695,16910132,16910469,338,0.057,0.535,-0.478,0.035883547731889,0.0713293191292265,0.0490712851405622,0.0483294809833999,0.0451248992747784,0.0406666666666667,0.107296137339056,0.491973969631236,0.592695916814608,0.56503937007874,0.490574506283663,FALSE,TRUE,Memory_hypermethylation,Hyper,chr12:130642603-130650204
chr10,133108848,133111109,2262,*,119,80.4239715479093,1.77601638059124,35.1931432961886,3.5153709595205e-06,0.0205001368483695,14538777,14538895,119,0.032,0.729,-0.696,0.0235602094240838,0.0210970464135021,0.0153550863723608,0.0307692307692308,0.0249854735618826,0.0318302387267905,0.0794912559618442,0.932628797886394,0.657874905802562,0.418930762489045,0.905376344086022,FALSE,TRUE,Aberrant_hypermethylation,Hyper,chr10:133108848-133111109
chr4,8856630,8879787,23158,*,928,323.401412516657,0.926906447454643,33.8936454677522,3.5153709595205e-06,0.0205001368483695,5734171,5735098,928,0.133,0.504,-0.371,0.0931685100845804,0.189122032026505,0.0883625025145846,0.12799309700151,0.12561408812637,0.14296771340115,0.166812009468045,0.893547115258247,0.292003593890386,0.464233929434509,0.367239932885906,FALSE,TRUE,Aberrant_hypermethylation,Hyper,chr4:8856630-8879787
chr16,53406798,53407808,1011,*,57,46.7636446221848,-2.08357958705031,-33.7511241567634,3.5153709595205e-06,0.0205001368483695,19792147,19792203,57,0.882,0.088,0.794,0.950442477876106,0.81705298013245,0.939393939393939,0.694704049844237,0.92760736196319,0.94273127753304,0.901219512195122,0.188376753507014,0.0524390243902439,0.060077519379845,0.0512048192771084,FALSE,TRUE,Memory_hypomethylation,Hypo,chr16:53406798-53407808
chr12,130386982,130389235,2254,*,152,93.3987258465667,1.73247172599097,31.0681533145745,3.5153709595205e-06,0.0205001368483695,16906067,16906218,152,0.012,0.631,-0.618,0.00928792569659443,0.0148342059336824,0.0118577075098814,0.00788436268068331,0.00875,0.00522648083623693,0.0265486725663717,0.965189873417722,0.5625,0.490394337714864,0.504065040650406,FALSE,TRUE,Aberrant_hypermethylation,Hyper,chr12:130386982-130389235
chr7,157475692,157485380,9689,*,454,190.443946857086,1.16914115299964,29.9870640151706,3.5153709595205e-06,0.0205001368483695,11078979,11079432,454,0.043,0.488,-0.445,0.0280667795789983,0.0524647502459285,0.0233077335238435,0.0397755405182373,0.0394370806741941,0.035665914221219,0.0811450201088242,0.887946094334914,0.26361698003489,0.277603231597846,0.521011673151751,FALSE,TRUE,Aberrant_hypermethylation,Hyper,chr7:157475692-157485380
chr18,14178726,14179709,984,*,56,39.1698800920659,-1.87853374936735,-29.130587923813,7.03074191904101e-06,0.0205001368483695,21423365,21423420,56,0.811,0.083,0.728,0.916955017301038,0.720087815587267,0.870616686819831,0.790382244143033,0.635443037974683,0.882758620689655,0.863013698630137,0.025974025974026,0.124777183600713,0.0830945558739255,0.0986842105263158,FALSE,TRUE,Aberrant_hypomethylation,Hypo,chr18:14178726-14179709
chr12,128750838,128753892,3055,*,132,75.9139648918623,1.47055624070292,25.8248065380863,7.03074191904101e-06,0.0205001368483695,16886413,16886544,132,0.036,0.592,-0.556,0.0278745644599303,0.0295178747130207,0.0263888888888889,0.0349854227405248,0.0354872881355932,0.0429654591406908,0.0558096980786825,0.886703383162864,0.55035279025016,0.34375,0.588803088803089,FALSE,TRUE,Aberrant_hypermethylation,Hyper,chr12:128750838-128753892
chr12,130356474,130357606,1133,*,23,11.260861797455,1.35612909908039,25.458845916109,1.05461128785615e-05,0.0205001368483695,16905751,16905773,23,0.152,0.686,-0.534,0.0369127516778524,0.208275862068966,0.195301027900147,0.125714285714286,0.16994633273703,0.103806228373702,0.224963715529753,0.770053475935829,0.696230598669623,0.652777777777778,0.626822157434402,FALSE,TRUE,Memory_hypermethylation,Hyper,chr12:130356474-130357606
chr21,33765563,33766056,494,*,29,18.3889911388068,-1.67600527794225,-23.3686499754605,1.05461128785615e-05,0.0205001368483695,23682804,23682832,29,0.779,0.124,0.655,0.897058823529412,0.736660929432014,0.837320574162679,0.532673267326733,0.662303664921466,0.947552447552448,0.839572192513369,0.125874125874126,0.123943661971831,0.0984848484848485,0.147540983606557,FALSE,TRUE,Memory_hypomethylation,Hypo,chr21:33765563-33766056
