"RL1980" "RL1981" "RL1982" "RL1983" "RL1984" "RL1985" "RL1986" "RL2352" "RL2560" "RL2561"
"chr1:858218-858874" 0.152 0.151515151515152 0.702380952380952 0.168888888888889 0.111111111111111 0.123809523809524 0.445945945945946 0.190972222222222 0.587301587301587 0.141791044776119
"chr1:861611-864614" 0.564870259481038 0.485884101040119 0.834016393442623 0.44311377245509 0.457264957264957 0.502487562189055 0.815864022662889 0.478260869565217 0.809593023255814 0.527619047619048
"chr1:867197-867787" 0.475862068965517 0.421428571428571 0.80952380952381 0.376404494382022 0.5 0.659574468085106 0.381578947368421 0.469565217391304 0.730569948186529 0.5
"chr1:870419-871776" 0.17741935483871 0.2075 0.710622710622711 0.229787234042553 0.20844327176781 0.235507246376812 0.160949868073879 0.165413533834586 0.684365781710914 0.168195718654434
"chr1:874415-875281" 0.434426229508197 0.337209302325581 0.71900826446281 0.183333333333333 0.306122448979592 0.314285714285714 0.705882352941177 0.186588921282799 0.736434108527132 0.171875
"chr1:906076-906557" 0.408163265306122 0.214765100671141 0.756756756756757 0.194915254237288 0.15625 0.197802197802198 0.418032786885246 0.20625 0.721212121212121 0.282352941176471
"chr1:911405-912061" 0.457446808510638 0.0416666666666667 0.399082568807339 0.0567685589519651 0.0309734513274336 0.0379746835443038 0.0078740157480315 0.0497630331753555 0.456521739130435 0.0355029585798817
"chr1:1093279-1093876" 0.154696132596685 0.125 0.512345679012346 0.112554112554113 0.110655737704918 0.111111111111111 0.258064516129032 0.0935064935064935 0.4 0.114583333333333
"chr1:1099933-1100453" 0.363636363636364 0.298969072164948 0.736842105263158 0.285714285714286 0.471074380165289 0.338028169014085 0.529680365296804 0.353503184713376 0.733050847457627 0.260135135135135
"chr1:1105478-1106120" 0.570422535211268 0.553191489361702 0.942307692307692 0.707792207792208 0.64804469273743 0.596491228070175 0.2 0.578125 0.86 0.60655737704918
"chr1:1108924-1109973" 0.263005780346821 0.219512195121951 0.813609467455621 0.20327868852459 0.171428571428571 0.293172690763052 0.245810055865922 0.215796897038082 0.886039886039886 0.270992366412214
"chr1:1141555-1142182" 0.189189189189189 0.146981627296588 0.935754189944134 0.0695187165775401 0.0777777777777778 0.0608695652173913 0.416267942583732 0.455399061032864 0.846153846153846 0.0645161290322581
"chr1:1355321-1355868" 0.0465116279069767 0.824372759856631 0.195061728395062 0.155963302752294 0.186234817813765 0.11864406779661 0.962406015037594 0.565274151436031 0.180616740088106 0.140684410646388
"chr1:1368712-1370252" 0.262032085561497 0.1859410430839 0.539285714285714 0.126436781609195 0.171091445427729 0.139240506329114 0.215311004784689 0.129943502824859 0.51219512195122 0.132404181184669
"chr1:2047091-2047773" 0.312775330396476 0.256578947368421 0.526315789473684 0.193181818181818 0.222772277227723 0.164251207729469 0.134146341463415 0.184210526315789 0.468085106382979 0.228571428571429
"chr1:2161408-2162775" 0.0824175824175824 0.630289532293987 0.282392026578073 0.576530612244898 0.506426735218509 0.5 0.0152671755725191 0.486111111111111 0.176229508196721 0.573369565217391
"chr1:2210467-2211457" 0.42156862745098 0.294117647058824 0.444444444444444 0.266355140186916 0.171052631578947 0.195121951219512 0.0532544378698225 0.178674351585014 0.478260869565217 0.158878504672897
"chr1:2253528-2253922" 0.584699453551913 0.215909090909091 0.826666666666667 0.432432432432432 0.286384976525822 0.243589743589744 0.0161290322580645 0.31447963800905 0.868852459016393 0.373417721518987
"chr1:2375529-2376020" 0.284722222222222 0.268156424581006 0.802197802197802 0.386934673366834 0.386792452830189 0.323308270676692 0.471153846153846 0.406727828746177 0.619565217391304 0.432432432432432
"chr1:2398900-2399445" 0.228571428571429 0.102564102564103 0.5625 0.284153005464481 0.330188679245283 0.466666666666667 0.0731707317073171 0.165071770334928 0.614906832298137 0.339622641509434
"chr1:2429124-2429266" 0.428571428571429 0.666666666666667 1 0.4 1 0.961538461538462 1 0.564102564102564 0.892857142857143 0.833333333333333
"chr1:2460215-2460621" 0.258333333333333 0.224242424242424 0.721153846153846 0.227586206896552 0.115044247787611 0.228571428571429 0.326530612244898 0.236619718309859 0.589147286821705 0.30379746835443
"chr1:2466346-2467211" 0.39344262295082 0.418103448275862 0.836538461538462 0.207547169811321 0.238095238095238 0.227272727272727 0.676646706586826 0.263157894736842 0.752941176470588 0.318181818181818
"chr1:2475074-2475375" 0.38961038961039 0.213333333333333 0.788990825688073 0.314814814814815 0.0756302521008403 0.45 0.05 0.233333333333333 0.638297872340426 0.351851851851852
"chr1:2542461-2542850" 0.135922330097087 0.0916666666666667 0.773109243697479 0.335294117647059 0.614678899082569 0.444444444444444 0.0595238095238095 0.0989761092150171 0.770114942528736 0.107843137254902
"chr1:2559869-2561018" 0.18232044198895 0.0810810810810811 0.890995260663507 0.610561056105611 0.253807106598985 0.142857142857143 0.0571428571428571 0.0305555555555556 0.910913140311804 0.139130434782609
"chr1:2573960-2575225" 0.0289156626506024 0.040169133192389 0.895384615384615 0.174556213017751 0.075812274368231 0.182456140350877 0.0171673819742489 0.0200594353640416 0.882462686567164 0.0346820809248555
"chr1:2928942-2929516" 0.451851851851852 0.390909090909091 0.739393939393939 0.8 0.480916030534351 0.294736842105263 0.269387755102041 0.376842105263158 0.71900826446281 0.583333333333333
"chr1:2977762-2979349" 0.257142857142857 0.288 0.68 0.476415094339623 0.394067796610169 0.429824561403509 0.19047619047619 0.228828828828829 0.672811059907834 0.427884615384615
"chr1:2980720-2984172" 0.434426229508197 0.26890756302521 0.792775665399239 0.30379746835443 0.318936877076412 0.294117647058824 0.49203187250996 0.228937728937729 0.788590604026846 0.348790322580645
"chr1:2987661-2991299" 0.486870897155361 0.0754716981132075 0.589641434262948 0.0875179340028694 0.101136363636364 0.0464601769911504 0.232233502538071 0.0715015321756895 0.631970260223048 0.0924050632911392
"chr1:3107666-3107964" 0.5 0.58974358974359 0.98 0.894736842105263 1 1 0.622950819672131 0.685714285714286 0.916666666666667 0.943661971830986
"chr1:3121321-3121777" 0.333333333333333 0.366666666666667 0.822033898305085 0.184397163120567 0.246575342465753 0.256198347107438 0.333333333333333 0.296551724137931 0.791666666666667 0.3359375
"chr1:3157419-3157837" 0.461538461538462 0.298892988929889 0.909090909090909 0.379084967320261 0.205533596837945 0.547445255474453 0.797029702970297 0.235033259423503 0.818565400843882 0.438202247191011
"chr1:3164050-3164642" 0.179640718562874 0.239473684210526 0.845953002610966 0.114864864864865 0.0517241379310345 0.0350877192982456 0.687306501547988 0.289877300613497 0.8125 0.107266435986159
"chr1:3228941-3232802" 0.56760374832664 0.112597547380156 0.865865865865866 0.135869565217391 0.228486646884273 0.387586206896552 0.276084949215143 0.153883495145631 0.882075471698113 0.146964856230032
"chr1:3302852-3315690" 0.593385945133408 0.110581222056632 0.862099253403601 0.117712382009994 0.446033081020465 0.576787290379523 0.579710144927536 0.208746942885916 0.871610845295056 0.079115610015983
"chr1:3514154-3515607" 0.59 0.606837606837607 0.888392857142857 0.686390532544379 0.684057971014493 0.582222222222222 0.217532467532468 0.642857142857143 0.855102040816327 0.628175519630485
"chr1:3569810-3570535" 0.275167785234899 0.429906542056075 0.808641975308642 0.251396648044693 0.414012738853503 0.346368715083799 0.314465408805031 0.283720930232558 0.790794979079498 0.440298507462687
"chr1:3604793-3606358" 0.182170542635659 0.621483375959079 0.825136612021858 0.505190311418685 0.620408163265306 0.54228855721393 0.344444444444444 0.533772652388797 0.81981981981982 0.482866043613707
"chr1:3612388-3612650" 0.477777777777778 0.425 0.8046875 0.358974358974359 0.232142857142857 0.658227848101266 0.130841121495327 0.337837837837838 0.722222222222222 0.353982300884956
"chr1:3624013-3625928" 0.56 0.256637168141593 0.776892430278884 0.27027027027027 0.248337028824834 0.38265306122449 0.177685950413223 0.205693296602387 0.759590792838875 0.259562841530055
"chr1:3633882-3635168" 0.283842794759825 0.38671875 0.591111111111111 0.291946308724832 0.293233082706767 0.376146788990826 0.4375 0.27893175074184 0.722741433021807 0.277551020408163
"chr1:3775078-3775368" 0.237704918032787 0.604166666666667 0.603960396039604 0.274336283185841 0.177215189873418 0.265734265734266 0.558441558441558 0.616935483870968 0.577235772357724 0.467289719626168
"chr1:4718070-4718984" 0.488372093023256 0.141025641025641 0.568888888888889 0.072 0.0294117647058824 0.148936170212766 0.495575221238938 0.189010989010989 0.70281124497992 0.0666666666666667
"chr1:6085944-6086493" 0.219251336898396 0.439024390243902 0.814516129032258 0.0564102564102564 0.135483870967742 0.212121212121212 0.385185185185185 0.358839050131926 0.781818181818182 0.128712871287129
"chr1:6296326-6296966" 0 0.902040816326531 0.572 0.795640326975477 0.83288409703504 0.633928571428571 0.720316622691293 0.769985974754558 0.366366366366366 0.820754716981132
"chr1:6478623-6479093" 0.0869565217391304 0.283464566929134 0.647058823529412 0.5 0.479452054794521 0.25 0.427083333333333 0.350785340314136 0.571428571428571 0.433070866141732
"chr1:6480513-6481818" 0.110344827586207 0.333333333333333 0.666666666666667 0.274052478134111 0.256944444444444 0.238738738738739 0.247368421052632 0.223913043478261 0.542056074766355 0.297297297297297
"chr1:6514457-6516289" 0.103448275862069 0.839449541284404 0.663487738419619 0.248923341946598 0.211505922165821 0.0469387755102041 0.935661764705882 0.866578014184397 0.480234260614934 0.656392694063927
"chr1:6520194-6521755" 0.425531914893617 0.826388888888889 0.91653290529695 0.636042402826855 0.502732240437158 0.367647058823529 0.811550151975684 0.739232576350822 0.834054834054834 0.785079928952043
"chr1:6530700-6531749" 0.0251396648044693 0.646315789473684 0.112765957446809 0.217391304347826 0.18 0.0526315789473684 0.923684210526316 0.568480300187617 0.124792013311148 0.291666666666667
"chr1:7844624-7845050" 0.0569948186528497 0.745664739884393 0.347457627118644 0.551724137931034 0.550239234449761 0.517241379310345 0.834355828220859 0.691810344827586 0.329268292682927 0.762790697674419
"chr1:8013857-8014676" 0.0447761194029851 0.951219512195122 0.80952380952381 0.251295336787565 0.264957264957265 0.0179640718562874 0.876811594202899 0.90487514863258 0.615384615384615 0.487745098039216
"chr1:9099346-9099999" 0.400881057268722 0.920382165605096 0.936170212765957 0.713450292397661 0.275 0.172043010752688 0.880952380952381 0.944347826086957 0.92112676056338 0.956810631229236
"chr1:9131710-9131800" 0.210526315789474 1 0.777777777777778 0.956521739130435 0.712121212121212 0.571428571428571 0.961538461538462 0.925233644859813 0.871794871794872 0.940298507462687
"chr1:9258512-9259128" 0.121212121212121 0.906432748538012 0.209205020920502 0.104761904761905 0.123529411764706 0.08 0.901234567901235 0.68762677484787 0.295719844357977 0.0359712230215827
"chr1:9260676-9263631" 0.341176470588235 0.258947368421053 0.462140992167102 0.164319248826291 0.140077821011673 0.247524752475248 0.169620253164557 0.19047619047619 0.563333333333333 0.187301587301587
"chr1:9910330-9911188" 0.206060606060606 0.291666666666667 0.77027027027027 0.308641975308642 0.415789473684211 0.194029850746269 0.887640449438202 0.186567164179104 0.794354838709677 0.305825242718447
"chr1:10699493-10699926" 0.188679245283019 0.213836477987421 0.815884476534296 0.1875 0.471428571428571 0.4 0.55868544600939 0.312274368231047 0.732203389830508 0.363636363636364
"chr1:10702181-10702655" 0.297297297297297 0.294117647058824 0.859154929577465 0.721518987341772 0.392523364485981 0.978723404255319 0.639344262295082 0.410071942446043 0.867924528301887 0.438502673796791
"chr1:10709224-10711897" 0.377622377622378 0.0784313725490196 0.838181818181818 0.054726368159204 0.0751964085297419 0.0690978886756238 0.561461794019934 0.0561426684280053 0.76525198938992 0.0669642857142857
"chr1:10723484-10724073" 0.493506493506494 0.280575539568345 0.747572815533981 0.271604938271605 0.191489361702128 0.313253012048193 0.162790697674419 0.235449735449735 0.753623188405797 0.265625
"chr1:10727860-10728547" 0.43312101910828 0.315315315315315 0.825870646766169 0.125 0.230769230769231 0.347826086956522 0.529411764705882 0.203753351206434 0.828571428571429 0.336134453781513
"chr1:10768554-10770034" 0.470319634703196 0.286689419795222 0.762790697674419 0.202247191011236 0.155688622754491 0.228571428571429 0.56140350877193 0.121835443037975 0.791237113402062 0.20253164556962
"chr1:10781683-10782313" 0.544554455445545 0.380952380952381 0.795454545454545 0.378854625550661 0.361842105263158 0.461538461538462 0.48 0.356643356643357 0.803571428571429 0.401273885350318
"chr1:10795227-10795845" 0.459183673469388 0.474666666666667 0.87292817679558 0.452830188679245 0.355828220858896 0.386740331491713 0.305084745762712 0.444695259593679 0.842424242424242 0.55
"chr1:11033879-11034257" 0.785714285714286 0.696969696969697 0.953488372093023 0.825 0.947368421052632 0.916666666666667 0.947368421052632 0.752475247524752 1 0.864864864864865
"chr1:12123105-12124474" 0.0690335305719921 0.617363344051447 0.0281425891181989 0.0563991323210412 0.10507880910683 0.0344827586206897 0.847715736040609 0.584479371316306 0.0429338103756708 0.0493197278911565
"chr1:12599990-12600468" 0.315789473684211 0.166666666666667 0.56043956043956 0.0894308943089431 0.145454545454545 0.128440366972477 0 0.101045296167247 0.538011695906433 0.16793893129771
"chr1:15461874-15462497" 0.00793650793650794 0.752631578947368 0.264705882352941 0.589285714285714 0.707482993197279 0.776595744680851 0.716535433070866 0.653284671532847 0.386363636363636 0.655172413793103
"chr1:15929571-15930386" 0.0259259259259259 0.337988826815642 0.0754310344827586 0.11377245508982 0.0900900900900901 0.087248322147651 0.516908212560386 0.442780748663102 0.0674157303370786 0.0608108108108108
"chr1:16163719-16164122" 0.025 0.762222222222222 0.220735785953177 0.489296636085627 0.340579710144928 0.0382165605095541 0.969230769230769 0.794303797468354 0.19815668202765 0.876582278481013
"chr1:16471635-16472684" 0.394618834080717 0.261398176291793 0.678062678062678 0.18815331010453 0.272357723577236 0.280898876404494 0.00793650793650794 0.299645390070922 0.601809954751131 0.227450980392157
"chr1:16862212-16862820" 0.0830860534124629 0.11663807890223 0.549065420560748 0.154639175257732 0.0932203389830508 0.0921501706484642 0.306163021868787 0.128846153846154 0.324970131421744 0.163884673748103
"chr1:16874107-16874833" 0.278350515463918 0.47244094488189 0.39527027027027 0.245535714285714 0.0144927536231884 0.0898876404494382 0.932773109243697 0.621301775147929 0.251908396946565 0.151898734177215
"chr1:17012306-17012722" 0.135514018691589 0.706666666666667 0.613333333333333 0.153153153153153 0.18552036199095 0.188571428571429 0.786259541984733 0.549132947976879 0.45933014354067 0.475409836065574
"chr1:17019098-17020632" 0.0698552548772813 0.900913562895292 0.26800296956199 0.0531496062992126 0.0569288389513109 0.063969896519285 0.920926517571885 0.873303167420814 0.276337115072934 0.156065088757396
"chr1:17085990-17086765" 0 0.653333333333333 0.208494208494208 0 0.049469964664311 0 0.658385093167702 0.562310030395137 0.717391304347826 0.108571428571429
"chr1:17186168-17186767" 0.215827338129496 0.673529411764706 0.657074340527578 0.245098039215686 0.0850439882697947 0.096 0.881632653061225 0.787267080745342 0.527777777777778 0.31638418079096
"chr1:17475728-17476149" 0.201754385964912 0.968379446640316 0.906976744186046 0.833333333333333 0.55363321799308 0.273684210526316 0.968253968253968 0.950819672131147 0.931937172774869 0.905660377358491
"chr1:18960339-18961753" 0.409722222222222 0.0747330960854092 0.677966101694915 0.0572916666666667 0.0579710144927536 0.053030303030303 0.0462962962962963 0.0699588477366255 0.406474820143885 0.0432432432432432
"chr1:19000372-19003512" 0.373626373626374 0.496240601503759 0.743169398907104 0.50219298245614 0.537284894837476 0.49438202247191 0.451298701298701 0.447724477244772 0.780632411067194 0.508411214953271
"chr1:19029492-19029899" 0.353658536585366 0.288288288288288 0.756906077348066 0.132701421800948 0.337349397590361 0.442622950819672 0.310810810810811 0.298932384341637 0.789473684210526 0.135802469135802
"chr1:19043761-19043974" 0.328358208955224 0.0476190476190476 0.594202898550725 0.0612244897959184 0.0373831775700935 0.117647058823529 0.107142857142857 0.0368663594470046 0.422535211267606 0.0212765957446809
"chr1:19144419-19146209" 0.31858407079646 0.359375 0.792763157894737 0.297587131367292 0.292841648590022 0.34 0.431192660550459 0.303182579564489 0.745762711864407 0.282208588957055
"chr1:19600434-19601026" 0.0555555555555556 0.965853658536585 0.91358024691358 0.140893470790378 0.192528735632184 0.0574712643678161 0.936567164179104 0.945619335347432 0.87536231884058 0.411214953271028
"chr1:20786757-20787003" 0.178571428571429 1 0.653846153846154 0.909090909090909 0.810810810810811 0.957142857142857 0.75 0.940298507462687 0.73015873015873 0.877551020408163
"chr1:22110729-22111470" 0.0218181818181818 0.8046875 0.242307692307692 0.864864864864865 0.850746268656716 0.546762589928058 0.8 0.721367521367521 0.106753812636166 0.815980629539952
"chr1:22467704-22468516" 0.364197530864198 0.328767123287671 0.645962732919255 0.245762711864407 0.35 0.48314606741573 0.407407407407407 0.264604810996564 0.645320197044335 0.325
"chr1:22919613-22920206" 0.294117647058824 0.186170212765957 0.943089430894309 0.138686131386861 0.341991341991342 0.469387755102041 0.686868686868687 0.142487046632124 0.767326732673267 0.0878048780487805
"chr1:23279658-23280502" 0.0730769230769231 0.969230769230769 0.946341463414634 0.0819277108433735 0.135842880523732 0.0714285714285714 0.929752066115702 0.955555555555556 0.920792079207921 0.115023474178404
"chr1:24438703-24439313" 0.349397590361446 0.185185185185185 0.789855072463768 0.0810810810810811 0.196969696969697 0.311111111111111 0.295081967213115 0.102310231023102 0.626666666666667 0.181159420289855
"chr1:25070163-25071173" 0.00884955752212389 0.91025641025641 0.297297297297297 0.882352941176471 0.897260273972603 0.950413223140496 0.70995670995671 0.835398230088496 0.203488372093023 0.830578512396694
"chr1:25252144-25254746" 0.503562945368171 0.0530164533820841 0.671201814058957 0.0428211586901763 0.0719257540603248 0.046594982078853 0.227882037533512 0.0510948905109489 0.625968992248062 0.0787119856887299
"chr1:25259325-25262289" 0.359133126934985 0.158898305084746 0.727482678983834 0.135593220338983 0.138107416879795 0.108552631578947 0.682779456193353 0.105995717344754 0.664583333333333 0.187719298245614
"chr1:26373004-26373534" 0.214285714285714 0.205405405405405 0.531707317073171 0.100917431192661 0.101941747572816 0.257142857142857 0.130434782608696 0.159235668789809 0.534351145038168 0.242424242424242
"chr1:26482002-26482702" 0.310606060606061 0.0674157303370786 0.521367521367521 0.0543478260869565 0.0571428571428571 0.202702702702703 0.469135802469136 0.068 0.377622377622378 0.077720207253886
"chr1:26524584-26524881" 0.166666666666667 0.803921568627451 0.722222222222222 0.88 1 1 0.6 0.767857142857143 0.753846153846154 0.761194029850746
"chr1:29215086-29215473" 0.0967741935483871 0.794117647058823 0.531578947368421 0.811881188118812 0.779411764705882 0.816901408450704 0.930555555555556 0.850136239782016 0.484848484848485 0.780564263322884
"chr1:29587008-29587400" 0.581699346405229 0.203252032520325 0.873303167420814 0.24390243902439 0.106976744186047 0 0.96 0.231511254019293 0.771739130434783 0.526315789473684
"chr1:30815418-30815902" 0.0256410256410256 0.407894736842105 0.612244897959184 0.521739130434783 0.25 0.156862745098039 0.216417910447761 0.177985948477752 0.657534246575342 0.219298245614035
"chr1:32238025-32238493" 0.197604790419162 0.0927835051546392 0.441176470588235 0.0675675675675676 0.03125 0.0559006211180124 0.272727272727273 0.059748427672956 0.291457286432161 0.0566037735849057
"chr1:35586337-35586736" 0.08 0.872641509433962 0.606060606060606 0.652173913043478 0.391111111111111 0.235294117647059 0.956140350877193 0.872844827586207 0.768518518518518 0.835820895522388
"chr1:36040019-36042474" 0.252818035426731 0.206439393939394 0.7 0.12396694214876 0.206650831353919 0.166666666666667 0.784431137724551 0.150306748466258 0.578602620087336 0.23015873015873
"chr1:36184249-36184815" 0.0066006600660066 0.545454545454545 0.0130293159609121 0 0.00769230769230769 0.0195121951219512 0.5 0.334375 0.0235294117647059 0.026578073089701
"chr1:36866553-36867148" 0.226890756302521 0.147286821705426 0.358620689655172 0.794520547945205 0.864864864864865 0.858823529411765 0.036144578313253 0.268211920529801 0.284671532846715 0.848484848484849
"chr1:37502654-37503599" 0.54014598540146 0.187214611872146 0.4140625 0.175572519083969 0.213793103448276 0.238461538461538 0.252631578947368 0.149006622516556 0.472636815920398 0.198412698412698
"chr1:38096049-38096844" 0.459183673469388 0.330188679245283 0.595238095238095 0.358695652173913 0.362745098039216 0.264705882352941 0.256880733944954 0.367875647668394 0.786206896551724 0.433070866141732
"chr1:39281613-39282172" 0.335329341317365 0.578014184397163 0.855 0.619631901840491 0.706766917293233 0.515723270440252 0.218274111675127 0.579957356076759 0.838383838383838 0.598173515981735
"chr1:39981272-39981553" 0.0285714285714286 0.673333333333333 0.777777777777778 0.168 0.0909090909090909 0.0923076923076923 0.836065573770492 0.577039274924471 0.788571428571429 0.12751677852349
"chr1:40024871-40025609" 0.0175438596491228 0.774410774410774 0.48469387755102 0.348623853211009 0.0842696629213483 0.0279329608938547 0.551724137931034 0.685185185185185 0.688679245283019 0.474576271186441
"chr1:40598339-40598889" 0.0913978494623656 0.94488188976378 0.94475138121547 0.670886075949367 0.27299703264095 0.0888888888888889 0.885057471264368 0.913306451612903 0.946043165467626 0.919811320754717
"chr1:40769135-40769931" 0.325842696629214 0.838235294117647 0.905759162303665 0.0816326530612245 0.259615384615385 0.215686274509804 0.95397489539749 0.88423645320197 0.805825242718447 0.207006369426752
"chr1:41960796-41961808" 0.267123287671233 0.385474860335196 0.727891156462585 0.478571428571429 0.49079754601227 0.354166666666667 0.593548387096774 0.389010989010989 0.65989847715736 0.422077922077922
"chr1:42384564-42385854" 0.246376811594203 0.245161290322581 0.404878048780488 0.21078431372549 0.564575645756458 0.658536585365854 0.0505415162454874 0.218390804597701 0.349344978165939 0.214022140221402
